127.0.0.1 - - [27/Sep/2024:13:22:42 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [27/Sep/2024:13:22:44 -0300] "GET /back-end/html/index.html HTTP/1.1" 200 1548
0:0:0:0:0:0:0:1 - - [27/Sep/2024:13:22:44 -0300] "GET /back-end/javaScript/scriptsInicial.js HTTP/1.1" 200 1759
0:0:0:0:0:0:0:1 - - [27/Sep/2024:13:22:44 -0300] "GET /back-end/javaScript/livroDestaque.js HTTP/1.1" 200 1012
0:0:0:0:0:0:0:1 - - [27/Sep/2024:13:22:44 -0300] "GET /back-end/css/stylesInicial.css HTTP/1.1" 200 5148
0:0:0:0:0:0:0:1 - - [27/Sep/2024:13:22:45 -0300] "GET /back-end/css/banner.jpg HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [27/Sep/2024:13:22:45 -0300] "GET /back-end/imagens/fundo/fundo1.png HTTP/1.1" 200 92516
0:0:0:0:0:0:0:1 - - [27/Sep/2024:13:22:45 -0300] "GET /back-end/imagens/icone/book.png HTTP/1.1" 200 10924
0:0:0:0:0:0:0:1 - - [27/Sep/2024:13:22:47 -0300] "GET /back-end/pegarResenhas HTTP/1.1" 200 30835
0:0:0:0:0:0:0:1 - - [27/Sep/2024:13:22:47 -0300] "GET /back-end/imagens/livros/cancao-de-aquiles.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2024:13:22:47 -0300] "GET /back-end/imagens/livros/carmilla.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2024:13:22:47 -0300] "GET /back-end/imagens/livros/garoto-devora-universo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2024:13:22:47 -0300] "GET /back-end/imagens/livros/e-assim-que-se%20perde-a-guerra-do-tempo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2024:13:23:14 -0300] "GET /back-end/html/resenhas.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2024:13:23:15 -0300] "GET /back-end/imagens/livros/Carmilla.jpg HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [27/Sep/2024:13:23:15 -0300] "GET /back-end/imagens/livros/Cancao%20de%20Aquiles.jpg HTTP/1.1" 200 933663
0:0:0:0:0:0:0:1 - - [27/Sep/2024:13:23:15 -0300] "GET /back-end/imagens/livros/Tudo%20pelo%20jogo.jpg HTTP/1.1" 200 1998115
0:0:0:0:0:0:0:1 - - [27/Sep/2024:13:23:15 -0300] "GET /back-end/imagens/livros/E%20assim%20que%20se%20perde%20a%20guerra%20do%20tempo.jpg HTTP/1.1" 200 2165307
0:0:0:0:0:0:0:1 - - [27/Sep/2024:13:23:15 -0300] "GET /back-end/imagens/livros/Garoto%20devora%20universo.jpg HTTP/1.1" 200 1059999
0:0:0:0:0:0:0:1 - - [27/Sep/2024:13:23:15 -0300] "GET /back-end/imagens/livros/A%20temperatura%20entre%20voce%20e%20eu.jpg HTTP/1.1" 200 996070
0:0:0:0:0:0:0:1 - - [27/Sep/2024:13:23:15 -0300] "GET /back-end/imagens/livros/Jogos%20vorazes.jpg HTTP/1.1" 200 10821514
0:0:0:0:0:0:0:1 - - [27/Sep/2024:13:23:15 -0300] "GET /back-end/imagens/livros/Historia%20e%20tudo%20que%20me%20deixou.jpg HTTP/1.1" 200 1379100
