127.0.0.1 - - [22/Dec/2024:13:06:30 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [22/Dec/2024:13:06:31 -0300] "GET /back-end/html/index.html HTTP/1.1" 200 1548
0:0:0:0:0:0:0:1 - - [22/Dec/2024:13:06:32 -0300] "GET /back-end/css/stylesInicial.css HTTP/1.1" 200 5148
0:0:0:0:0:0:0:1 - - [22/Dec/2024:13:06:32 -0300] "GET /back-end/javaScript/scriptsInicial.js HTTP/1.1" 200 1759
0:0:0:0:0:0:0:1 - - [22/Dec/2024:13:06:32 -0300] "GET /back-end/javaScript/livroDestaque.js HTTP/1.1" 200 1012
0:0:0:0:0:0:0:1 - - [22/Dec/2024:13:06:32 -0300] "GET /back-end/css/banner.jpg HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [22/Dec/2024:13:06:32 -0300] "GET /back-end/imagens/fundo/fundo1.png HTTP/1.1" 200 92516
0:0:0:0:0:0:0:1 - - [22/Dec/2024:13:06:32 -0300] "GET /back-end/imagens/icone/book.png HTTP/1.1" 200 10924
0:0:0:0:0:0:0:1 - - [22/Dec/2024:13:06:34 -0300] "GET /back-end/pegarResenhas HTTP/1.1" 200 30835
0:0:0:0:0:0:0:1 - - [22/Dec/2024:13:06:34 -0300] "GET /back-end/imagens/livros/carmilla.jpg HTTP/1.1" 200 178497
0:0:0:0:0:0:0:1 - - [22/Dec/2024:13:06:34 -0300] "GET /back-end/imagens/livros/cancao-de-aquiles.jpg HTTP/1.1" 200 933663
0:0:0:0:0:0:0:1 - - [22/Dec/2024:13:06:34 -0300] "GET /back-end/imagens/livros/garoto-devora-universo.jpg HTTP/1.1" 200 1059999
0:0:0:0:0:0:0:1 - - [22/Dec/2024:13:06:34 -0300] "GET /back-end/imagens/livros/e-assim-que-se%20perde-a-guerra-do-tempo.jpg HTTP/1.1" 200 2165307
0:0:0:0:0:0:0:1 - - [22/Dec/2024:13:08:04 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [22/Dec/2024:13:08:04 -0300] "GET /favicon.ico HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [22/Dec/2024:13:08:08 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [22/Dec/2024:13:09:46 -0300] "GET /back-end/html/administrador/login.html HTTP/1.1" 200 1112
0:0:0:0:0:0:0:1 - - [22/Dec/2024:13:09:46 -0300] "GET /back-end/css/stylesLogin.css HTTP/1.1" 200 6427
