0:0:0:0:0:0:0:1 - - [27/Dec/2024:10:03:14 -0300] "GET /back-end/imagens/livros/Harry%20Potter.jpg HTTP/1.1" 200 3058692
0:0:0:0:0:0:0:1 - - [27/Dec/2024:10:03:14 -0300] "GET /back-end/imagens/livros/A%20selecao.jpg HTTP/1.1" 200 9577752
0:0:0:0:0:0:0:1 - - [27/Dec/2024:10:03:14 -0300] "GET /back-end/pegarResenhas HTTP/1.1" 200 30835
0:0:0:0:0:0:0:1 - - [27/Dec/2024:10:03:14 -0300] "GET /back-end/pegarResenhas HTTP/1.1" 200 30835
0:0:0:0:0:0:0:1 - - [27/Dec/2024:10:03:14 -0300] "GET /back-end/pegarResenhas HTTP/1.1" 200 30835
0:0:0:0:0:0:0:1 - - [27/Dec/2024:10:03:15 -0300] "GET /back-end/imagens/icone/book.png HTTP/1.1" 200 10924
0:0:0:0:0:0:0:1 - - [27/Dec/2024:10:03:22 -0300] "GET /back-end/imagens/livros/Carmilla.jpg HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [27/Dec/2024:10:03:22 -0300] "GET /back-end/javaScript/livroDestaque.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2024:10:03:22 -0300] "GET /back-end/pegarResenhas HTTP/1.1" 200 30835
0:0:0:0:0:0:0:1 - - [27/Dec/2024:10:03:22 -0300] "GET /back-end/pegarResenhas HTTP/1.1" 200 30835
0:0:0:0:0:0:0:1 - - [27/Dec/2024:10:03:22 -0300] "GET /back-end/pegarResenhas HTTP/1.1" 200 30835
0:0:0:0:0:0:0:1 - - [27/Dec/2024:10:03:24 -0300] "GET /back-end/css/banner.jpg HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [27/Dec/2024:10:03:24 -0300] "GET /back-end/pegarResenhas HTTP/1.1" 200 30835
0:0:0:0:0:0:0:1 - - [27/Dec/2024:10:03:26 -0300] "GET /back-end/html/index.html HTTP/1.1" 200 1548
0:0:0:0:0:0:0:1 - - [27/Dec/2024:10:03:26 -0300] "GET /back-end/css/stylesInicial.css HTTP/1.1" 200 5148
0:0:0:0:0:0:0:1 - - [27/Dec/2024:10:03:26 -0300] "GET /back-end/javaScript/scriptsInicial.js HTTP/1.1" 200 1759
0:0:0:0:0:0:0:1 - - [27/Dec/2024:10:03:26 -0300] "GET /back-end/javaScript/livroDestaque.js HTTP/1.1" 200 2129
0:0:0:0:0:0:0:1 - - [27/Dec/2024:10:03:26 -0300] "GET /back-end/css/banner.jpg HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [27/Dec/2024:10:03:26 -0300] "GET /back-end/imagens/fundo/fundo1.png HTTP/1.1" 200 92516
0:0:0:0:0:0:0:1 - - [27/Dec/2024:10:03:26 -0300] "GET /back-end/pegarResenhas HTTP/1.1" 200 30835
0:0:0:0:0:0:0:1 - - [27/Dec/2024:10:03:26 -0300] "GET /back-end/imagens/icone/book.png HTTP/1.1" 200 10924
0:0:0:0:0:0:0:1 - - [27/Dec/2024:10:03:29 -0300] "GET /back-end/html/administrador/indexAdm.html HTTP/1.1" 200 6302
0:0:0:0:0:0:0:1 - - [27/Dec/2024:10:03:29 -0300] "GET /back-end/css/stylesAdmInicial.css HTTP/1.1" 200 6333
